Time, roll, rollrate, rollDesired, rollError, pitch, pitchRate, pitchDesired, pitchError, yaw, yawRate, yawDesired, yawError, throttle
6.887394,-0.204821238653,0.487804466018,0,0.204821238653,1.14291201772,-0.731706699026,0,-1.14291201772,-7.73781047945,1.4024378398,-0.0,7.73781047945,1.0
6.984383,-0.238849421307,0.182926674757,0,0.238849421307,1.13067991277,-0.853657815531,0,-1.13067991277,-7.86565056829,1.21951116504,-0.0,7.86565056829,1.0
7.081317,-0.318675529129,0.365853349513,0,0.318675529129,1.06618759542,-0.792682257279,0,-1.06618759542,-7.9972670115,1.09756004854,-0.0,7.9972670115,1.0
7.179102,-0.363995206658,0.365853349513,0,0.363995206658,1.16839063554,-0.792682257279,0,-1.16839063554,-8.1269128189,1.2804867233,-0.0,8.1269128189,1.0
7.277716,-0.428252479024,0.426828907765,0,0.428252479024,1.25001539106,-0.792682257279,0,-1.25001539106,-8.25839279657,1.21951116504,-0.0,8.25839279657,1.0
7.376352,-0.284367014556,0.487804466018,0,0.284367014556,1.15276833319,-0.914633373783,0,-1.15276833319,-8.38688710947,1.2804867233,-0.0,8.38688710947,1.0
7.474705,-0.291844683302,0.487804466018,0,0.291844683302,1.15940814574,-0.914633373783,0,-1.15940814574,-8.52075880761,1.46341339805,-0.0,8.52075880761,1.0
7.571704,-0.327188679506,0.54878002427,0,0.327188679506,1.13617820975,-0.914633373783,0,-1.13617820975,-8.6432226338,1.15853560679,-0.0,8.6432226338,1.0
7.669304,-0.343007324944,0.54878002427,0,0.343007324944,1.22652213113,-0.670731140774,0,-1.22652213113,-8.77411240736,1.21951116504,-0.0,8.77411240736,1.0
7.768845,-0.306886772108,0.182926674757,0,0.306886772108,1.24329372626,-0.853657815531,0,-1.24329372626,-8.90177311277,1.21951116504,-0.0,8.90177311277,1.0
7.866507,-0.318635157403,0.365853349513,0,0.318635157403,1.22499159404,-0.792682257279,0,-1.22499159404,-9.02714279338,1.2804867233,-0.0,9.02714279338,1.0
7.964441,-0.275060830465,0.304877791261,0,0.275060830465,1.22585217953,-0.731706699026,0,-1.22585217953,-9.15753559163,1.4024378398,-0.0,9.15753559163,1.0
8.063304,-0.333451398468,0.426828907765,0,0.333451398468,1.19189569263,-0.975608932035,0,-1.19189569263,-9.2828975348,1.34146228155,-0.0,9.2828975348,1.0
8.161621,-0.314923476078,0.609755582522,0,0.314923476078,1.20195767158,-0.853657815531,0,-1.20195767158,-9.41175148256,1.15853560679,-0.0,9.41175148256,1.0
8.25994,-0.367095790787,0.426828907765,0,0.367095790787,1.20509851461,-0.609755582522,0,-1.20509851461,-9.54379995864,1.21951116504,-0.0,9.54379995864,1.0
8.357879,-0.325001511846,0.426828907765,0,0.325001511846,1.20288756106,-0.609755582522,0,-1.20288756106,-9.6722118211,1.21951116504,-0.0,9.6722118211,1.0
8.456728,-0.272568243897,0.304877791261,0,0.272568243897,1.21885562314,-0.670731140774,0,-1.21885562314,-9.80594509577,1.4024378398,-0.0,9.80594509577,1.0
8.555899,-0.30197539303,0.243902233009,0,0.30197539303,1.20383962814,-1.09756004854,0,-1.20383962814,-9.93919717329,1.52438895631,-0.0,9.93919717329,1.0
8.654619,-0.219969937575,0.426828907765,0,0.219969937575,1.24802036366,-0.731706699026,0,-1.24802036366,-10.0686006932,1.2804867233,-0.0,10.0686006932,1.0
